service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
5_merged_204556,20190407,20190928,0,0,0,0,0,1,0
401_merged_204558,20190407,20190928,0,0,0,0,0,0,0
201_merged_204550,20190407,20190928,0,0,0,0,0,0,0
101_merged_204561,20190407,20190928,0,0,0,0,0,0,0
3_merged_204554,20190407,20190928,0,0,0,0,0,0,1
1001_merged_204575,20190929,20200328,0,0,0,0,0,0,0
901_merged_204551,20190407,20190928,0,0,0,0,0,0,0
301_merged_204552,20190407,20190928,0,0,0,0,0,0,0
1_merged_204553,20190407,20190928,1,1,1,1,1,0,0
3204_merged_204555,20190407,20190928,0,0,0,0,0,0,0
4_merged_204570,20190929,20200328,1,1,1,1,1,0,0
5_merged_204569,20190929,20200328,0,0,0,0,0,1,0
2_merged_204560,20190407,20190928,0,0,0,0,0,1,0
101_merged_204574,20190929,20200328,0,0,0,0,0,0,0
201_merged_204563,20190929,20200328,0,0,0,0,0,0,0
401_merged_204571,20190929,20200328,0,0,0,0,0,0,0
3_merged_204567,20190929,20200328,0,0,0,0,0,0,1
1001_merged_204562,20190407,20190928,0,0,0,0,0,0,0
901_merged_204564,20190929,20200328,0,0,0,0,0,0,0
2_merged_204573,20190929,20200328,0,0,0,0,0,1,0
1_merged_204566,20190929,20200328,1,1,1,1,1,0,0
4_merged_204557,20190407,20190928,1,1,1,1,1,0,0
3204_merged_204568,20190929,20200328,0,0,0,0,0,0,0
301_merged_204565,20190929,20200328,0,0,0,0,0,0,0
