service_id,date,exception_type
401_merged_204558,20190719,1
401_merged_204558,20190603,1
401_merged_204558,20190801,1
401_merged_204558,20190802,1
401_merged_204558,20190729,1
401_merged_204558,20190626,1
401_merged_204558,20190419,1
401_merged_204558,20190725,1
401_merged_204558,20190724,1
401_merged_204558,20190726,1
401_merged_204558,20190530,1
401_merged_204558,20190531,1
401_merged_204558,20190723,1
401_merged_204558,20190722,1
401_merged_204558,20190628,1
401_merged_204558,20190705,1
401_merged_204558,20190524,1
401_merged_204558,20190703,1
401_merged_204558,20190702,1
401_merged_204558,20190701,1
401_merged_204558,20190606,1
401_merged_204558,20190621,1
401_merged_204558,20190604,1
401_merged_204558,20190605,1
401_merged_204558,20190624,1
401_merged_204558,20190625,1
401_merged_204558,20190709,1
401_merged_204558,20190708,1
401_merged_204558,20190627,1
401_merged_204558,20190610,1
401_merged_204558,20190830,1
401_merged_204558,20190613,1
401_merged_204558,20190612,1
401_merged_204558,20190529,1
401_merged_204558,20190528,1
401_merged_204558,20190730,1
401_merged_204558,20190731,1
401_merged_204558,20190523,1
401_merged_204558,20190614,1
401_merged_204558,20190611,1
401_merged_204558,20190715,1
401_merged_204558,20190716,1
401_merged_204558,20190717,1
401_merged_204558,20190710,1
401_merged_204558,20190711,1
401_merged_204558,20190712,1
401_merged_204558,20190619,1
401_merged_204558,20190618,1
401_merged_204558,20190718,1
401_merged_204558,20190617,1
401_merged_204558,20190620,1
401_merged_204558,20190607,1
201_merged_204550,20190910,1
201_merged_204550,20190719,1
201_merged_204550,20190911,1
201_merged_204550,20190808,1
201_merged_204550,20190917,1
201_merged_204550,20190923,1
201_merged_204550,20190801,1
201_merged_204550,20190510,1
201_merged_204550,20190920,1
201_merged_204550,20190729,1
201_merged_204550,20190926,1
201_merged_204550,20190419,1
201_merged_204550,20190418,1
201_merged_204550,20190417,1
201_merged_204550,20190416,1
201_merged_204550,20190415,1
201_merged_204550,20190726,1
201_merged_204550,20190412,1
201_merged_204550,20190411,1
201_merged_204550,20190410,1
201_merged_204550,20190731,1
201_merged_204550,20190606,1
201_merged_204550,20190607,1
201_merged_204550,20190604,1
201_merged_204550,20190605,1
201_merged_204550,20190809,1
201_merged_204550,20190603,1
201_merged_204550,20190514,1
201_merged_204550,20190712,1
201_merged_204550,20190425,1
201_merged_204550,20190711,1
201_merged_204550,20190715,1
201_merged_204550,20190827,1
201_merged_204550,20190716,1
201_merged_204550,20190422,1
201_merged_204550,20190423,1
201_merged_204550,20190507,1
201_merged_204550,20190506,1
201_merged_204550,20190426,1
201_merged_204550,20190913,1
201_merged_204550,20190815,1
201_merged_204550,20190814,1
201_merged_204550,20190819,1
201_merged_204550,20190429,1
201_merged_204550,20190509,1
201_merged_204550,20190508,1
201_merged_204550,20190918,1
201_merged_204550,20190919,1
201_merged_204550,20190611,1
201_merged_204550,20190610,1
201_merged_204550,20190613,1
201_merged_204550,20190612,1
201_merged_204550,20190710,1
201_merged_204550,20190614,1
201_merged_204550,20190617,1
201_merged_204550,20190513,1
201_merged_204550,20190619,1
201_merged_204550,20190618,1
201_merged_204550,20190718,1
201_merged_204550,20190802,1
201_merged_204550,20190916,1
201_merged_204550,20190927,1
201_merged_204550,20190517,1
201_merged_204550,20190909,1
201_merged_204550,20190806,1
201_merged_204550,20190903,1
201_merged_204550,20190807,1
201_merged_204550,20190905,1
201_merged_204550,20190904,1
201_merged_204550,20190906,1
201_merged_204550,20190826,1
201_merged_204550,20190725,1
201_merged_204550,20190822,1
201_merged_204550,20190430,1
201_merged_204550,20190820,1
201_merged_204550,20190724,1
201_merged_204550,20190925,1
201_merged_204550,20190530,1
201_merged_204550,20190531,1
201_merged_204550,20190828,1
201_merged_204550,20190829,1
201_merged_204550,20190628,1
201_merged_204550,20190705,1
201_merged_204550,20190703,1
201_merged_204550,20190702,1
201_merged_204550,20190701,1
201_merged_204550,20190626,1
201_merged_204550,20190620,1
201_merged_204550,20190621,1
201_merged_204550,20190624,1
201_merged_204550,20190625,1
201_merged_204550,20190709,1
201_merged_204550,20190708,1
201_merged_204550,20190805,1
201_merged_204550,20190723,1
201_merged_204550,20190924,1
201_merged_204550,20190722,1
201_merged_204550,20190503,1
201_merged_204550,20190627,1
201_merged_204550,20190830,1
201_merged_204550,20190821,1
201_merged_204550,20190408,1
201_merged_204550,20190409,1
201_merged_204550,20190529,1
201_merged_204550,20190528,1
201_merged_204550,20190823,1
201_merged_204550,20190730,1
201_merged_204550,20190524,1
201_merged_204550,20190515,1
201_merged_204550,20190813,1
201_merged_204550,20190502,1
201_merged_204550,20190812,1
201_merged_204550,20190912,1
201_merged_204550,20190516,1
201_merged_204550,20190501,1
201_merged_204550,20190717,1
201_merged_204550,20190424,1
201_merged_204550,20190816,1
101_merged_204561,20190523,1
101_merged_204561,20190522,1
101_merged_204561,20190521,1
101_merged_204561,20190520,1
3_merged_204554,20190527,1
3_merged_204554,20190704,1
3_merged_204554,20190902,1
1001_merged_204575,20191230,1
1001_merged_204575,20200217,1
1001_merged_204575,20200320,1
1001_merged_204575,20191010,1
1001_merged_204575,20191011,1
1001_merged_204575,20191108,1
1001_merged_204575,20191007,1
1001_merged_204575,20191127,1
1001_merged_204575,20200316,1
1001_merged_204575,20200317,1
1001_merged_204575,20191018,1
1001_merged_204575,20200319,1
1001_merged_204575,20191009,1
1001_merged_204575,20191008,1
1001_merged_204575,20191111,1
1001_merged_204575,20191129,1
1001_merged_204575,20200318,1
1001_merged_204575,20200103,1
1001_merged_204575,20200102,1
1001_merged_204575,20200106,1
1001_merged_204575,20191223,1
1001_merged_204575,20191231,1
1001_merged_204575,20191220,1
1001_merged_204575,20191227,1
1001_merged_204575,20191226,1
1001_merged_204575,20191224,1
901_merged_204551,20190815,1
901_merged_204551,20190425,1
901_merged_204551,20190923,1
901_merged_204551,20190513,1
901_merged_204551,20190510,1
901_merged_204551,20190920,1
901_merged_204551,20190516,1
901_merged_204551,20190926,1
901_merged_204551,20190514,1
901_merged_204551,20190418,1
901_merged_204551,20190808,1
