block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_23796,1,22,1,1,KINGS LANE,15026,3_merged_225463,221540,
b_23797,1,22,1,1,KINGS LANE,15026,3_merged_225463,221541,
b_23796,1,22,1,1,KINGS LANE,15026,3_merged_225463,221542,
b_23797,1,22,1,1,KINGS LANE,15026,3_merged_225463,221543,
b_23796,1,22,1,1,KINGS LANE,15026,3_merged_225463,221544,
b_23796,1,22,1,1,LONG TERM CARE,15022,3_merged_225463,221545,
b_23967,1,52,1,1,52A - DOWNTOWN,15117,3_merged_225463,223213,
a_23710,2,92,2,1,VANDERBILT VIA DOWNTOWN,14964,4_merged_225460,220769,
a_23709,2,92,2,0,HENDERSONVILLE,14963,4_merged_225460,220768,
a_23704,2,91,2,1,DOWNTOWN VIA VANDERBILT,14961,4_merged_225460,220763,
a_23703,2,91,2,0,FRANKLIN VIA BRENTWOOD,14960,4_merged_225460,220762,
a_23702,2,91,2,0,FRANKLIN VIA BRENTWOOD,14960,4_merged_225460,220761,
a_23708,2,92,2,0,HENDERSONVILLE,14963,4_merged_225460,220767,
a_23706,2,91,2,1,VANDERBILT VIA DOWNTOWN,14962,4_merged_225460,220765,
b_23971,1,52,1,1,52A - DOWNTOWN,15117,3_merged_225463,223218,
b_23967,1,52,1,1,52A - DOWNTOWN,15117,3_merged_225463,223219,
a_23350,1,19,1,0,DOWNTOWN,14566,8_merged_225462,218134,
a_23350,1,19,1,0,DOWNTOWN,14566,8_merged_225462,218132,
a_23350,1,19,1,0,DOWNTOWN,14566,8_merged_225462,218138,
a_22373,1,23,1,1,DOWNTOWN VIA PARKWOOD,14593,3_merged_225457,210171,
a_22373,1,23,1,1,DOWNTOWN VIA PARKWOOD,14593,3_merged_225457,210170,
a_22373,1,23,1,1,DOWNTOWN VIA PARKWOOD,14593,3_merged_225457,210173,
a_22373,1,23,1,1,DOWNTOWN VIA PARKWOOD,14593,3_merged_225457,210172,
a_22373,1,23,1,1,DOWNTOWN VIA PARKWOOD,14593,3_merged_225457,210175,
a_22373,1,23,1,1,DOWNTOWN VIA PARKWOOD,14593,3_merged_225457,210174,
a_22374,1,23,1,1,DOWNTOWN VIA CHESAPEAKE,14592,3_merged_225457,210177,
a_22374,1,23,1,1,DOWNTOWN VIA CHESAPEAKE,14592,3_merged_225457,210176,
a_22374,1,23,1,1,DOWNTOWN VIA CHESAPEAKE,14592,3_merged_225457,210179,
a_22374,1,23,1,1,DOWNTOWN VIA CHESAPEAKE,14592,3_merged_225457,210178,
b_24103,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223038,
b_24104,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223039,
b_24107,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223032,
b_24103,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223033,
b_24102,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223030,
b_24109,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223031,
b_24109,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223036,
b_24107,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223037,
b_24104,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223034,
b_24102,1,50,1,1,DOWNTOWN,15107,8_merged_225468,223035,
b_23816,1,28,1,0,DOWNTOWN,15048,8_merged_225468,221962,
b_23782,1,18,1,0,AIRPORT EXPRESS,14998,8_merged_225468,221144,
b_23816,1,28,1,0,DOWNTOWN,15048,8_merged_225468,221960,
b_23816,1,28,1,0,DOWNTOWN,15048,8_merged_225468,221961,
b_23816,1,28,1,0,DOWNTOWN,15048,8_merged_225468,221966,
b_23816,1,28,1,1,OAKWOOD,15050,8_merged_225468,221967,
b_23816,1,28,1,0,DOWNTOWN,15048,8_merged_225468,221964,
b_23782,1,18,1,0,AIRPORT EXPRESS,14998,8_merged_225468,221145,
b_23816,1,28,1,1,OAKWOOD,15050,8_merged_225468,221968,
b_23816,1,28,1,1,OAKWOOD,15050,8_merged_225468,221969,
b_23782,1,18,1,0,AIRPORT EXPRESS,14998,8_merged_225468,221146,
b_23782,1,18,1,0,AIRPORT EXPRESS,14998,8_merged_225468,221147,
a_23464,1,14,1,0,BUENA VISTA,14549,2_merged_225458,219309,
a_23464,1,14,1,0,BUENA VISTA,14549,2_merged_225458,219308,
b_23782,1,18,1,0,AIRPORT EXPRESS,14998,8_merged_225468,221142,
a_23464,1,14,1,0,BUENA VISTA,14550,2_merged_225458,219301,
a_23464,1,14,1,0,BUENA VISTA,14550,2_merged_225458,219300,
a_23464,1,14,1,0,BUENA VISTA,14550,2_merged_225458,219303,
a_23464,1,14,1,0,BUENA VISTA,14550,2_merged_225458,219302,
a_23464,1,14,1,0,BUENA VISTA,14549,2_merged_225458,219305,
a_23464,1,14,1,0,BUENA VISTA,14550,2_merged_225458,219304,
a_23464,1,14,1,0,BUENA VISTA,14549,2_merged_225458,219307,
a_23464,1,14,1,0,BUENA VISTA,14549,2_merged_225458,219306,
a_22405,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210795,
a_22406,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210794,
a_22405,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210797,
a_22406,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210796,
a_22405,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210791,
a_22406,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210790,
a_22405,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210793,
a_22406,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210792,
b_23782,1,18,1,0,AIRPORT EXPRESS,14998,8_merged_225468,221148,
a_22405,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210799,
a_22406,1,3,1,0,WHITE BRIDGE,14614,3_merged_225457,210798,
